#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2019 01 04 13 00 227 10.9 11.8 99.00 99.00 99.00 999 1013.2   2.6 999.0  -3.3 99.0 99.00
2019 01 04 14 00 219 10.7 11.5 99.00 99.00 99.00 999 1012.6   2.5 999.0  -3.3 99.0 99.00
2019 01 04 16 00 228 12.7 13.7 99.00 99.00 99.00 999 1010.5   3.7 999.0  -4.0 99.0 99.00
2019 01 04 17 00 239  9.0  9.9 99.00 99.00 99.00 999 1009.5   4.4 999.0  -2.9 99.0 99.00
2019 01 04 18 00 237  9.6 10.6 99.00 99.00 99.00 999 1008.8   5.1 999.0  -2.9 99.0 99.00
2019 01 04 19 00 237  9.0  9.9 99.00 99.00 99.00 999 1008.4   6.0 999.0  -3.6 99.0 99.00
2019 01 04 20 00 230  6.4  7.1 99.00 99.00 99.00 999 1008.6   6.5 999.0  -2.1 99.0 99.00
2019 01 04 21 00 219  6.2  6.9 99.00 99.00 99.00 999 1008.4   6.5 999.0  -0.5 99.0 99.00
2019 01 04 22 00 214  7.8  8.3 99.00 99.00 99.00 999 1008.3   6.7 999.0  -0.7 99.0 99.00
2019 01 04 23 00 209  8.2  8.6 99.00 99.00 99.00 999 1008.6   6.3 999.0  -0.3 99.0 99.00
2019 01 05 00 00 216  7.6  8.1 99.00 99.00 99.00 999 1009.4   6.0 999.0   0.0 99.0 99.00
2019 01 05 01 00 220  7.6  8.7 99.00 99.00 99.00 999 1008.8   5.8 999.0  -0.3 99.0 99.00
2019 01 05 02 00 220  8.8  9.9 99.00 99.00 99.00 999 1008.5   5.4 999.0  -0.4 99.0 99.00
2019 01 05 03 00 235  8.5  9.2 99.00 99.00 99.00 999 1007.7   5.1 999.0  -0.6 99.0 99.00
2019 01 05 04 00 231  8.0  8.5 99.00 99.00 99.00 999 1007.1   4.8 999.0   0.1 99.0 99.00
2019 01 05 05 00 235  6.4  7.2 99.00 99.00 99.00 999 1006.8   4.7 999.0   0.5 99.0 99.00
2019 01 05 06 00 238  6.0  6.5 99.00 99.00 99.00 999 1006.7   4.6 999.0  -0.2 99.0 99.00
2019 01 05 07 00 222  5.7  6.0 99.00 99.00 99.00 999 1006.9   4.3 999.0  -0.5 99.0 99.00
2019 01 05 08 00 238  3.6  4.0 99.00 99.00 99.00 999 1006.3   4.1 999.0  -0.3 99.0 99.00
2019 01 05 09 00 228  2.8  3.2 99.00 99.00 99.00 999 1005.8   4.1 999.0  -0.1 99.0 99.00
2019 01 05 10 00 250  2.8  3.0 99.00 99.00 99.00 999 1005.0   4.1 999.0  -0.4 99.0 99.00
2019 01 05 11 00 329  1.8  2.0 99.00 99.00 99.00 999 1004.6   3.9 999.0  -0.3 99.0 99.00
2019 01 05 12 00   8  1.4  1.6 99.00 99.00 99.00 999 1004.9   4.0 999.0   0.1 99.0 99.00
2019 01 05 13 00  29  3.5  3.9 99.00 99.00 99.00 999 1004.8   4.0 999.0   1.2 99.0 99.00
2019 01 05 14 00  23  4.5  4.9 99.00 99.00 99.00 999 1004.9   3.8 999.0   2.2 99.0 99.00
2019 01 05 15 00  19  6.7  7.1 99.00 99.00 99.00 999 1004.1   3.2 999.0   2.4 99.0 99.00
