,Battery Capacity,Total Score,Daily Diesel R2 Score,Daily Diesel MSE Score,SOC R2 Score,SOC MSE Score,SOC MSE,SOC R2,Daily Gen MSE,Daily Gen R2
75,275,2.255513096,0.964866059,0.224891139,0.978690038,0.08706586,27.63182526,0.823864204,871.6987155,0.820071286
76,276,2.250297268,0.966195604,0.222228945,0.978407249,0.083465469,27.74079846,0.823626151,874.6926577,0.82120131
77,277,2.246803615,0.967531172,0.219996428,0.978571673,0.080704343,27.82436962,0.823764563,877.2033795,0.822336453
78,278,2.240930849,0.968525579,0.215387483,0.978487595,0.078530192,27.89017475,0.823693786,882.3866658,0.823181632
79,279,2.234771364,0.969121865,0.210691942,0.978607263,0.076350294,27.95615385,0.823794523,887.667339,0.823688435
80,280,2.227691617,0.969741017,0.205963926,0.978331832,0.073654841,28.03773726,0.823562665,892.9845351,0.824214673
81,281,2.213334814,0.968279599,0.1888835,0.979083275,0.077088441,27.93381233,0.824195232,912.1934311,0.822972565
82,282,2.200918728,0.967451295,0.181448087,0.978436321,0.073583026,28.03991091,0.823650624,920.5554052,0.822268562
83,283,2.194865636,0.96794025,0.176537182,0.978658816,0.071729388,28.09601505,0.823837921,926.0782798,0.822684142
84,284,2.181864421,0.967321081,0.16913999,0.977779206,0.067624144,28.22026869,0.823097462,934.3972697,0.82215789
85,285,2.167413058,0.966171114,0.151270943,0.978698184,0.071272816,28.10983413,0.823871061,954.4930604,0.821180495
86,286,2.159219441,0.97022599,0.144572757,0.976232026,0.068188667,28.20318224,0.821795042,962.0259377,0.824626867
87,287,2.149334324,0.970572827,0.13871312,0.975744088,0.064304289,28.32075091,0.821384294,968.6157711,0.824921655
88,288,2.112033581,0.960590475,0.122373648,0.973341918,0.055727541,28.5803438,0.81936214,986.9913799,0.816437327
89,289,2.094500537,0.959946874,0.106470583,0.973179142,0.054903939,28.60527179,0.819225115,1004.876199,0.815890309
90,290,2.085974868,0.960339773,0.102021713,0.972500831,0.051112552,28.72002591,0.818654111,1009.879462,0.816224247
91,291,2.075529546,0.959815115,0.097990064,0.969976112,0.047748256,28.82185322,0.816528795,1014.413514,0.815778323
92,292,2.061445253,0.958869448,0.090322537,0.969059056,0.043194212,28.9596907,0.815756814,1023.036526,0.814974569
93,293,2.05487177,0.960336819,0.085623929,0.968961372,0.039949649,29.05789406,0.815674584,1028.320649,0.816221737
94,294,2.01993833,0.95498048,0.062363343,0.967659383,0.034935124,29.20966896,0.814578565,1054.479843,0.811669209
95,295,2.008134848,0.954985616,0.056146669,0.966727729,0.030274835,29.35072218,0.813794296,1061.471205,0.811673574
96,296,1.994566993,0.954871748,0.049426845,0.965685073,0.024583326,29.52298735,0.812916585,1069.028416,0.811576794
97,297,1.980452479,0.953806435,0.042310412,0.964824897,0.019510736,29.67651972,0.812192486,1077.031661,0.810671349
98,298,1.958571497,0.953002616,0.030902969,0.961495902,0.013170009,29.86843482,0.809390129,1089.860637,0.809988157
99,299,1.944112869,0.952682546,0.023767631,0.960279691,0.007383002,30.04359048,0.808366318,1097.885143,0.809716119
100,300,1.903775793,0.945783711,0,0.957992082,0,30.26705218,0.806440602,1124.614567,0.803852573
